RecordKey,CustomerName,LicenseCode,LicenseCategory,AsOfDate,PurchasedUnits,UtilizedUnits,UtilizationPercent
Scotiabank|3401-1594-2780-6157|User Licenses|2026-07-31,Scotiabank,3401-1594-2780-6157,User Licenses,2026-07-31,46,10,21.74
Scotiabank|5579-4255-7565-6724|User Licenses|2026-07-31,Scotiabank,5579-4255-7565-6724,User Licenses,2026-07-31,429,105,24.48
Scotiabank|5113-1896-4165-3858|User Licenses|2026-07-31,Scotiabank,5113-1896-4165-3858,User Licenses,2026-07-31,128,13,10.16
Scotiabank|6344-8267-1888-2915|User Licenses|2025-02-28,Scotiabank,6344-8267-1888-2915,User Licenses,2025-02-28,100,0,0
Scotiabank|8909-3088-4736-3666|User Licenses|2025-03-31,Scotiabank,8909-3088-4736-3666,User Licenses,2025-03-31,0,1,
Scotiabank|9267-1035-7073-7034|User Licenses|2026-07-31,Scotiabank,9267-1035-7073-7034,User Licenses,2026-07-31,280,93,33.21
Scotiabank|4087-1911-3123-6615|User Licenses|2026-07-31,Scotiabank,4087-1911-3123-6615,User Licenses,2026-07-31,105,0,0
Scotiabank|1780-0330-0472-3894|User Licenses|2026-07-31,Scotiabank,1780-0330-0472-3894,User Licenses,2026-07-31,557,74,13.29
Scotiabank|4464-8940-9086-4066|User Licenses|2026-07-31,Scotiabank,4464-8940-9086-4066,User Licenses,2026-07-31,5,0,0
Scotiabank|6010-3206-0866-3055|User Licenses|2026-07-31,Scotiabank,6010-3206-0866-3055,User Licenses,2026-07-31,143,24,16.78
Scotiabank|4380-7267-8114-3315|User Licenses|2026-04-30,Scotiabank,4380-7267-8114-3315,User Licenses,2026-04-30,0,52,
Scotiabank|2025-9619-8098-1235|User Licenses|2025-02-28,Scotiabank,2025-9619-8098-1235,User Licenses,2025-02-28,0,2,
Scotiabank|4708-5044-9961-5341|User Licenses|2026-07-31,Scotiabank,4708-5044-9961-5341,User Licenses,2026-07-31,21,6,28.57
Scotiabank|5113-1896-4165-3858|AI Units|2026-05-27,Scotiabank,5113-1896-4165-3858,AI Units,2026-05-27,1000000,59721,5.97
Scotiabank|6344-8267-1888-2915|AI Units|2025-02-28,Scotiabank,6344-8267-1888-2915,AI Units,2025-02-28,1,0,0
Scotiabank|1780-0330-0472-3894|AI Units|2026-05-21,Scotiabank,1780-0330-0472-3894,AI Units,2026-05-21,600000,27.2,0
Scotiabank|6010-3206-0866-3055|AI Units|2026-07-31,Scotiabank,6010-3206-0866-3055,AI Units,2026-07-31,480000,0,0
Scotiabank|5579-4255-7565-6724|AI Units|2026-05-27,Scotiabank,5579-4255-7565-6724,AI Units,2026-05-27,646000,5043,0.78
Seacoast Bank|8335-8458-7126-0040|Unattended Production License|2026-07-31,Seacoast Bank,8335-8458-7126-0040,Unattended Production License,2026-07-31,9,8,88.89
Seacoast Bank|8335-8458-7126-0040|Unattended Test Robot License|2026-07-31,Seacoast Bank,8335-8458-7126-0040,Unattended Test Robot License,2026-07-31,8,7,87.5
Seacoast Bank|8335-8458-7126-0040|User Licenses|2026-07-31,Seacoast Bank,8335-8458-7126-0040,User Licenses,2026-07-31,51,11,21.57
Siebert|4436-6146-2020-9110|Unattended Production License|2026-07-31,Siebert,4436-6146-2020-9110,Unattended Production License,2026-07-31,2,2,100
Siebert|9906-2247-1844-0864|Unattended Production License|2026-03-31,Siebert,9906-2247-1844-0864,Unattended Production License,2026-03-31,1,1,100
Siebert|4436-6146-2020-9110|Unattended Test Robot License|2026-07-31,Siebert,4436-6146-2020-9110,Unattended Test Robot License,2026-07-31,1,1,100
Siebert|9906-2247-1844-0864|User Licenses|2026-03-31,Siebert,9906-2247-1844-0864,User Licenses,2026-03-31,4,2,50
Siebert|4436-6146-2020-9110|User Licenses|2026-07-31,Siebert,4436-6146-2020-9110,User Licenses,2026-07-31,15,3,20
South State Corporation|9708-2371-9106-1087|Unattended Production License|2026-07-31,South State Corporation,9708-2371-9106-1087,Unattended Production License,2026-07-31,32,32,100
South State Corporation|9708-2371-9106-1087|Unattended Test Robot License|2026-07-31,South State Corporation,9708-2371-9106-1087,Unattended Test Robot License,2026-07-31,12,13,108.33
South State Corporation|8539-5355-1723-4584|User Licenses|2026-07-31,South State Corporation,8539-5355-1723-4584,User Licenses,2026-07-31,79,13,16.46
South State Corporation|9708-2371-9106-1087|User Licenses|2026-07-31,South State Corporation,9708-2371-9106-1087,User Licenses,2026-07-31,73,7,9.59
South State Corporation|9708-2371-9106-1087|Platform Units|2026-07-31,South State Corporation,9708-2371-9106-1087,Platform Units,2026-07-31,90000,0,0
South State Corporation|8539-5355-1723-4584|Platform Units|2026-07-24,South State Corporation,8539-5355-1723-4584,Platform Units,2026-07-24,3000,6.9,0.23
"State Bankshares, Inc.|5393-0098-8259-7555|Unattended Production License|2023-11-30","State Bankshares, Inc.",5393-0098-8259-7555,Unattended Production License,2023-11-30,3,0,0
"State Bankshares, Inc.|4269-9788-4740-6153|Unattended Production License|2026-07-31","State Bankshares, Inc.",4269-9788-4740-6153,Unattended Production License,2026-07-31,3,3,100
"State Bankshares, Inc.|4269-9788-4740-6153|NonProduction Robot License|2026-07-31","State Bankshares, Inc.",4269-9788-4740-6153,NonProduction Robot License,2026-07-31,0,2,
"State Bankshares, Inc.|5393-0098-8259-7555|NonProduction Robot License|2023-11-30","State Bankshares, Inc.",5393-0098-8259-7555,NonProduction Robot License,2023-11-30,2,0,0
"State Bankshares, Inc.|4269-9788-4740-6153|Unattended Test Robot License|2026-07-31","State Bankshares, Inc.",4269-9788-4740-6153,Unattended Test Robot License,2026-07-31,2,0,0
"State Bankshares, Inc.|5393-0098-8259-7555|User Licenses|2023-11-30","State Bankshares, Inc.",5393-0098-8259-7555,User Licenses,2023-11-30,114,0,0
"State Bankshares, Inc.|4269-9788-4740-6153|User Licenses|2026-07-31","State Bankshares, Inc.",4269-9788-4740-6153,User Licenses,2026-07-31,25,4,16
"Stock Yards Bancorp, Inc.|6010-9005-1735-4250|Unattended Production License|2026-07-31","Stock Yards Bancorp, Inc.",6010-9005-1735-4250,Unattended Production License,2026-07-31,4,4,100
"Stock Yards Bancorp, Inc.|6010-9005-1735-4250|Unattended Test Robot License|2026-07-31","Stock Yards Bancorp, Inc.",6010-9005-1735-4250,Unattended Test Robot License,2026-07-31,4,4,100
"Stock Yards Bancorp, Inc.|6010-9005-1735-4250|User Licenses|2026-07-31","Stock Yards Bancorp, Inc.",6010-9005-1735-4250,User Licenses,2026-07-31,79,5,6.33
"Stock Yards Bancorp, Inc.|6010-9005-1735-4250|Platform Units|2026-08-07","Stock Yards Bancorp, Inc.",6010-9005-1735-4250,Platform Units,2026-08-07,51000,140.95,0.28
StoneX Group Inc.|6794-3841-7226-9164|Unattended Production License|2025-08-31,StoneX Group Inc.,6794-3841-7226-9164,Unattended Production License,2025-08-31,0,2,
StoneX Group Inc.|5900-2388-4862-1470|Unattended Production License|2026-07-31,StoneX Group Inc.,5900-2388-4862-1470,Unattended Production License,2026-07-31,1,0,0
StoneX Group Inc.|5425-5305-7166-6527|Unattended Production License|2026-07-31,StoneX Group Inc.,5425-5305-7166-6527,Unattended Production License,2026-07-31,5,6,120
StoneX Group Inc.|5900-2388-4862-1470|Unattended Test Robot License|2026-07-31,StoneX Group Inc.,5900-2388-4862-1470,Unattended Test Robot License,2026-07-31,1,0,0
StoneX Group Inc.|5425-5305-7166-6527|Unattended Test Robot License|2026-07-31,StoneX Group Inc.,5425-5305-7166-6527,Unattended Test Robot License,2026-07-31,6,6,100
StoneX Group Inc.|6794-3841-7226-9164|User Licenses|2026-07-31,StoneX Group Inc.,6794-3841-7226-9164,User Licenses,2026-07-31,0,1,
StoneX Group Inc.|5425-5305-7166-6527|User Licenses|2026-07-31,StoneX Group Inc.,5425-5305-7166-6527,User Licenses,2026-07-31,227,43,18.94
StoneX Group Inc.|6125-4354-6608-4841|User Licenses|2023-11-30,StoneX Group Inc.,6125-4354-6608-4841,User Licenses,2023-11-30,10,0,0
Sun Life Financial Canada|1776-1169-8648-2729|Unattended Production License|2025-01-31,Sun Life Financial Canada,1776-1169-8648-2729,Unattended Production License,2025-01-31,1,1,100
Sun Life Financial Canada|5985-0669-7857-6186|Unattended Production License|2026-07-31,Sun Life Financial Canada,5985-0669-7857-6186,Unattended Production License,2026-07-31,1,0,0
Sun Life Financial Canada|5459-5665-9121-3199|Unattended Production License|2026-07-31,Sun Life Financial Canada,5459-5665-9121-3199,Unattended Production License,2026-07-31,100,2,2
Sun Life Financial Canada|1776-1169-8648-2729|Unattended Test Robot License|2025-01-31,Sun Life Financial Canada,1776-1169-8648-2729,Unattended Test Robot License,2025-01-31,1,1,100
Sun Life Financial Canada|5459-5665-9121-3199|Unattended Test Robot License|2026-07-31,Sun Life Financial Canada,5459-5665-9121-3199,Unattended Test Robot License,2026-07-31,20,2,10
Sun Life Financial Canada|1776-1169-8648-2729|User Licenses|2025-02-28,Sun Life Financial Canada,1776-1169-8648-2729,User Licenses,2025-02-28,11,0,0
Sun Life Financial Canada|5459-5665-9121-3199|User Licenses|2026-07-31,Sun Life Financial Canada,5459-5665-9121-3199,User Licenses,2026-07-31,251,24,9.56
Sun Life Financial Canada|8846-9516-6459-8124|User Licenses|2026-07-31,Sun Life Financial Canada,8846-9516-6459-8124,User Licenses,2026-07-31,100,0,0
Sun Life Financial Canada|9109-9060-5714-7101|User Licenses|2026-06-30,Sun Life Financial Canada,9109-9060-5714-7101,User Licenses,2026-06-30,10,0,0
Sun Life Financial Canada|1776-1169-8648-2729|AI Units|2025-02-28,Sun Life Financial Canada,1776-1169-8648-2729,AI Units,2025-02-28,1,0,0
Sun Life Financial Canada|5459-5665-9121-3199|Platform Units|2026-07-31,Sun Life Financial Canada,5459-5665-9121-3199,Platform Units,2026-07-31,100000,0,0
Suncoast Credit Union|3099-0405-8702-3169|Unattended Production License|2026-07-31,Suncoast Credit Union,3099-0405-8702-3169,Unattended Production License,2026-07-31,20,20,100
Suncoast Credit Union|6254-1982-1430-6354|Unattended Production License|2023-02-28,Suncoast Credit Union,6254-1982-1430-6354,Unattended Production License,2023-02-28,7,0,0
Suncoast Credit Union|3099-0405-8702-3169|Unattended Test Robot License|2026-07-31,Suncoast Credit Union,3099-0405-8702-3169,Unattended Test Robot License,2026-07-31,15,15,100
Suncoast Credit Union|3099-0405-8702-3169|User Licenses|2026-07-31,Suncoast Credit Union,3099-0405-8702-3169,User Licenses,2026-07-31,5423,261,4.81
Suncoast Credit Union|6254-1982-1430-6354|User Licenses|2023-02-28,Suncoast Credit Union,6254-1982-1430-6354,User Licenses,2023-02-28,328,0,0
Suncoast Credit Union|3099-0405-8702-3169|Platform Units|2026-08-09,Suncoast Credit Union,3099-0405-8702-3169,Platform Units,2026-08-09,196600,23098.663096774,11.75
Synovus Financial Corp.|3383-0352-0712-3017|Unattended Production License|2026-07-31,Synovus Financial Corp.,3383-0352-0712-3017,Unattended Production License,2026-07-31,15,6,40
Synovus Financial Corp.|0475-4731-2687-1100|Unattended Production License|2026-07-31,Synovus Financial Corp.,0475-4731-2687-1100,Unattended Production License,2026-07-31,1,1,100
Synovus Financial Corp.|3383-0352-0712-3017|Unattended Test Robot License|2026-07-31,Synovus Financial Corp.,3383-0352-0712-3017,Unattended Test Robot License,2026-07-31,5,5,100
Synovus Financial Corp.|0475-4731-2687-1100|Unattended Test Robot License|2026-07-31,Synovus Financial Corp.,0475-4731-2687-1100,Unattended Test Robot License,2026-07-31,1,1,100
Synovus Financial Corp.|3383-0352-0712-3017|User Licenses|2026-07-31,Synovus Financial Corp.,3383-0352-0712-3017,User Licenses,2026-07-31,126,34,26.98
Synovus Financial Corp.|0475-4731-2687-1100|User Licenses|2026-07-31,Synovus Financial Corp.,0475-4731-2687-1100,User Licenses,2026-07-31,0,2,
Synovus Financial Corp.|2072-3217-9964-9757|User Licenses|2026-07-31,Synovus Financial Corp.,2072-3217-9964-9757,User Licenses,2026-07-31,161,69,42.86
Synovus Financial Corp.|3383-0352-0712-3017|AI Units|2026-08-09,Synovus Financial Corp.,3383-0352-0712-3017,AI Units,2026-08-09,900000,28952,3.22
Synovus Financial Corp.|2072-3217-9964-9757|Platform Units|2026-07-20,Synovus Financial Corp.,2072-3217-9964-9757,Platform Units,2026-07-20,35000,1.3,0
TCW Group Inc|5958-8270-1896-0956|Unattended Production License|2026-07-31,TCW Group Inc,5958-8270-1896-0956,Unattended Production License,2026-07-31,1,1,100
TCW Group Inc|386797361126881196|Unattended Production License|2023-10-31,TCW Group Inc,386797361126881196,Unattended Production License,2023-10-31,1,0,0
TCW Group Inc|386711793031096944|NonProduction Robot License|2023-10-31,TCW Group Inc,386711793031096944,NonProduction Robot License,2023-10-31,1,0,0
TCW Group Inc|5958-8270-1896-0956|Unattended Test Robot License|2026-07-31,TCW Group Inc,5958-8270-1896-0956,Unattended Test Robot License,2026-07-31,1,1,100
TCW Group Inc|386797361126881196|User Licenses|2023-10-31,TCW Group Inc,386797361126881196,User Licenses,2023-10-31,2,0,0
TCW Group Inc|386711793031096944|User Licenses|2023-10-31,TCW Group Inc,386711793031096944,User Licenses,2023-10-31,4,0,0
TCW Group Inc|5958-8270-1896-0956|User Licenses|2026-07-31,TCW Group Inc,5958-8270-1896-0956,User Licenses,2026-07-31,110,0,0
Texas Capital Bank|386760749559281652|Unattended Production License|2024-06-30,Texas Capital Bank,386760749559281652,Unattended Production License,2024-06-30,20,0,0
Texas Capital Bank|4676-7086-0843-0592|Unattended Production License|2026-07-31,Texas Capital Bank,4676-7086-0843-0592,Unattended Production License,2026-07-31,30,27,90
Texas Capital Bank|7559-7215-0346-8844|Unattended Production License|2025-12-31,Texas Capital Bank,7559-7215-0346-8844,Unattended Production License,2025-12-31,25,0,0
Texas Capital Bank|386726818409576825|NonProduction Robot License|2024-06-30,Texas Capital Bank,386726818409576825,NonProduction Robot License,2024-06-30,9,0,0
Texas Capital Bank|4676-7086-0843-0592|NonProduction Robot License|2026-07-31,Texas Capital Bank,4676-7086-0843-0592,NonProduction Robot License,2026-07-31,9,9,100
Texas Capital Bank|6602-1671-4580-6407|NonProduction Robot License|2025-02-28,Texas Capital Bank,6602-1671-4580-6407,NonProduction Robot License,2025-02-28,9,0,0
Texas Capital Bank|6602-1671-4580-6407|User Licenses|2025-02-28,Texas Capital Bank,6602-1671-4580-6407,User Licenses,2025-02-28,36,0,0
Texas Capital Bank|386726818409576825|User Licenses|2024-06-30,Texas Capital Bank,386726818409576825,User Licenses,2024-06-30,9,0,0
Texas Capital Bank|4676-7086-0843-0592|User Licenses|2026-07-31,Texas Capital Bank,4676-7086-0843-0592,User Licenses,2026-07-31,78,23,29.49
Texas Capital Bank|386760749559281652|User Licenses|2024-06-30,Texas Capital Bank,386760749559281652,User Licenses,2024-06-30,10,0,0
Texas Capital Bank|6602-1671-4580-6407|AI Units|2025-02-28,Texas Capital Bank,6602-1671-4580-6407,AI Units,2025-02-28,1,0,0
Texas Capital Bank|4676-7086-0843-0592|AI Units|2026-03-10,Texas Capital Bank,4676-7086-0843-0592,AI Units,2026-03-10,360000,10,0
The Bank Fund Staff Federal Credit Union|0345-2952-8211-6296|Unattended Production License|2026-07-31,The Bank Fund Staff Federal Credit Union,0345-2952-8211-6296,Unattended Production License,2026-07-31,2,2,100
The Bank Fund Staff Federal Credit Union|0345-2952-8211-6296|Unattended Test Robot License|2026-07-31,The Bank Fund Staff Federal Credit Union,0345-2952-8211-6296,Unattended Test Robot License,2026-07-31,1,1,100
The Bank Fund Staff Federal Credit Union|0345-2952-8211-6296|User Licenses|2026-07-31,The Bank Fund Staff Federal Credit Union,0345-2952-8211-6296,User Licenses,2026-07-31,153,9,5.88
The Bank Fund Staff Federal Credit Union|5582-5405-0543-3427|User Licenses|2023-11-30,The Bank Fund Staff Federal Credit Union,5582-5405-0543-3427,User Licenses,2023-11-30,1,0,0
The Bank Fund Staff Federal Credit Union|0345-2952-8211-6296|AI Units|2026-07-31,The Bank Fund Staff Federal Credit Union,0345-2952-8211-6296,AI Units,2026-07-31,45000,0,0
The Bank of New York Mellon Corporation|9870-9332-7314-1822|Unattended Production License|2026-07-31,The Bank of New York Mellon Corporation,9870-9332-7314-1822,Unattended Production License,2026-07-31,831,830,99.88
The Bank of New York Mellon Corporation|4262-8147-5066-9957|Unattended Production License|2026-07-31,The Bank of New York Mellon Corporation,4262-8147-5066-9957,Unattended Production License,2026-07-31,1,1,100
The Bank of New York Mellon Corporation|2395-1865-9892-2684|Unattended Production License|2026-07-31,The Bank of New York Mellon Corporation,2395-1865-9892-2684,Unattended Production License,2026-07-31,1,0,0
The Bank of New York Mellon Corporation|6996-2033-4701-7130|Unattended Production License|2026-07-31,The Bank of New York Mellon Corporation,6996-2033-4701-7130,Unattended Production License,2026-07-31,1,1,100
The Bank of New York Mellon Corporation|8589-5267-7755-3967|Unattended Production License|2026-07-31,The Bank of New York Mellon Corporation,8589-5267-7755-3967,Unattended Production License,2026-07-31,1,1,100
The Bank of New York Mellon Corporation|9375-0368-1349-4028|Unattended Production License|2025-06-30,The Bank of New York Mellon Corporation,9375-0368-1349-4028,Unattended Production License,2025-06-30,40,9,22.5
The Bank of New York Mellon Corporation|3004-6935-3003-0532|Unattended Production License|2026-07-31,The Bank of New York Mellon Corporation,3004-6935-3003-0532,Unattended Production License,2026-07-31,50,50,100
The Bank of New York Mellon Corporation|1245-1807-9985-9171|Unattended Production License|2026-07-31,The Bank of New York Mellon Corporation,1245-1807-9985-9171,Unattended Production License,2026-07-31,1,0,0
The Bank of New York Mellon Corporation|4262-8147-5066-9957|NonProduction Robot License|2026-07-31,The Bank of New York Mellon Corporation,4262-8147-5066-9957,NonProduction Robot License,2026-07-31,0,2,
The Bank of New York Mellon Corporation|4234-5882-0848-8687|NonProduction Robot License|2026-07-31,The Bank of New York Mellon Corporation,4234-5882-0848-8687,NonProduction Robot License,2026-07-31,110,101,91.82
The Bank of New York Mellon Corporation|9870-9332-7314-1822|NonProduction Robot License|2026-07-31,The Bank of New York Mellon Corporation,9870-9332-7314-1822,NonProduction Robot License,2026-07-31,30,30,100
The Bank of New York Mellon Corporation|5239-2072-8996-2704|NonProduction Robot License|2026-07-31,The Bank of New York Mellon Corporation,5239-2072-8996-2704,NonProduction Robot License,2026-07-31,2,0,0
The Bank of New York Mellon Corporation|9375-0368-1349-4028|NonProduction Robot License|2025-06-30,The Bank of New York Mellon Corporation,9375-0368-1349-4028,NonProduction Robot License,2025-06-30,10,10,100
The Bank of New York Mellon Corporation|9870-9332-7314-1822|Unattended Test Robot License|2026-07-31,The Bank of New York Mellon Corporation,9870-9332-7314-1822,Unattended Test Robot License,2026-07-31,1,0,0
The Bank of New York Mellon Corporation|4262-8147-5066-9957|Unattended Test Robot License|2026-07-31,The Bank of New York Mellon Corporation,4262-8147-5066-9957,Unattended Test Robot License,2026-07-31,2,2,100
The Bank of New York Mellon Corporation|4234-5882-0848-8687|Unattended Test Robot License|2026-07-31,The Bank of New York Mellon Corporation,4234-5882-0848-8687,Unattended Test Robot License,2026-07-31,150,101,67.33
The Bank of New York Mellon Corporation|6996-2033-4701-7130|Unattended Test Robot License|2026-07-31,The Bank of New York Mellon Corporation,6996-2033-4701-7130,Unattended Test Robot License,2026-07-31,1,1,100
The Bank of New York Mellon Corporation|9375-0368-1349-4028|Unattended Test Robot License|2025-06-30,The Bank of New York Mellon Corporation,9375-0368-1349-4028,Unattended Test Robot License,2025-06-30,11,9,81.82
The Bank of New York Mellon Corporation|2395-1865-9892-2684|Unattended Test Robot License|2026-07-31,The Bank of New York Mellon Corporation,2395-1865-9892-2684,Unattended Test Robot License,2026-07-31,1,0,0
The Bank of New York Mellon Corporation|4262-8147-5066-9957|User Licenses|2026-07-31,The Bank of New York Mellon Corporation,4262-8147-5066-9957,User Licenses,2026-07-31,13,44,338.46
The Bank of New York Mellon Corporation|4046-4999-3292-0025|User Licenses|2025-01-31,The Bank of New York Mellon Corporation,4046-4999-3292-0025,User Licenses,2025-01-31,1,0,0
The Bank of New York Mellon Corporation|6490-2444-6792-3273|User Licenses|2026-07-31,The Bank of New York Mellon Corporation,6490-2444-6792-3273,User Licenses,2026-07-31,11,0,0
The Bank of New York Mellon Corporation|3943-5444-3146-7093|User Licenses|2024-08-31,The Bank of New York Mellon Corporation,3943-5444-3146-7093,User Licenses,2024-08-31,1125,0,0
The Bank of New York Mellon Corporation|8254-7785-8421-1248|User Licenses|2026-05-31,The Bank of New York Mellon Corporation,8254-7785-8421-1248,User Licenses,2026-05-31,10,0,0
The Bank of New York Mellon Corporation|6996-2033-4701-7130|User Licenses|2026-07-31,The Bank of New York Mellon Corporation,6996-2033-4701-7130,User Licenses,2026-07-31,572,107,18.71
The Bank of New York Mellon Corporation|1245-1807-9985-9171|User Licenses|2026-07-31,The Bank of New York Mellon Corporation,1245-1807-9985-9171,User Licenses,2026-07-31,111,0,0
The Bank of New York Mellon Corporation|9375-0368-1349-4028|User Licenses|2026-07-31,The Bank of New York Mellon Corporation,9375-0368-1349-4028,User Licenses,2026-07-31,640,605,94.53
The Bank of New York Mellon Corporation|3004-6935-3003-0532|User Licenses|2026-07-31,The Bank of New York Mellon Corporation,3004-6935-3003-0532,User Licenses,2026-07-31,1109,292,26.33
The Bank of New York Mellon Corporation|0000-2930-8517-1345|User Licenses|2024-04-30,The Bank of New York Mellon Corporation,0000-2930-8517-1345,User Licenses,2024-04-30,4,0,0
The Bank of New York Mellon Corporation|4234-5882-0848-8687|User Licenses|2026-07-31,The Bank of New York Mellon Corporation,4234-5882-0848-8687,User Licenses,2026-07-31,843,161,19.1
The Bank of New York Mellon Corporation|8589-5267-7755-3967|User Licenses|2026-07-31,The Bank of New York Mellon Corporation,8589-5267-7755-3967,User Licenses,2026-07-31,5,1,20
The Bank of New York Mellon Corporation|6522-3690-1014-8049|User Licenses|2024-04-30,The Bank of New York Mellon Corporation,6522-3690-1014-8049,User Licenses,2024-04-30,25,0,0
The Bank of New York Mellon Corporation|9870-9332-7314-1822|User Licenses|2026-07-31,The Bank of New York Mellon Corporation,9870-9332-7314-1822,User Licenses,2026-07-31,141,21,14.89
The Bank of New York Mellon Corporation|0047-4909-2745-6377|AI Units|2024-11-30,The Bank of New York Mellon Corporation,0047-4909-2745-6377,AI Units,2024-11-30,1,0,0
The Bank of New York Mellon Corporation|4234-5882-0848-8687|AI Units|2026-07-14,The Bank of New York Mellon Corporation,4234-5882-0848-8687,AI Units,2026-07-14,480000,262,0.05
The Blackstone Group L.P.|9394-1088-2490-7997|Unattended Production License|2024-07-31,The Blackstone Group L.P.,9394-1088-2490-7997,Unattended Production License,2024-07-31,5,0,0
The Blackstone Group L.P.|0923-0242-9857-6383|Unattended Production License|2026-07-31,The Blackstone Group L.P.,0923-0242-9857-6383,Unattended Production License,2026-07-31,8,8,100
The Blackstone Group L.P.|4412-8133-1481-0387|Unattended Production License|2026-07-31,The Blackstone Group L.P.,4412-8133-1481-0387,Unattended Production License,2026-07-31,10,6,60
The Blackstone Group L.P.|3237-1509-1518-6000|Unattended Test Robot License|2024-07-31,The Blackstone Group L.P.,3237-1509-1518-6000,Unattended Test Robot License,2024-07-31,4,0,0
The Blackstone Group L.P.|4412-8133-1481-0387|Unattended Test Robot License|2026-07-31,The Blackstone Group L.P.,4412-8133-1481-0387,Unattended Test Robot License,2026-07-31,5,4,80
The Blackstone Group L.P.|3237-1509-1518-6000|User Licenses|2024-07-31,The Blackstone Group L.P.,3237-1509-1518-6000,User Licenses,2024-07-31,2,0,0
The Blackstone Group L.P.|0923-0242-9857-6383|User Licenses|2026-07-31,The Blackstone Group L.P.,0923-0242-9857-6383,User Licenses,2026-07-31,15,3,20
The Blackstone Group L.P.|9536-0081-7954-3206|User Licenses|2024-07-31,The Blackstone Group L.P.,9536-0081-7954-3206,User Licenses,2024-07-31,1,0,0
The Blackstone Group L.P.|4412-8133-1481-0387|User Licenses|2026-07-31,The Blackstone Group L.P.,4412-8133-1481-0387,User Licenses,2026-07-31,102,26,25.49
The Blackstone Group L.P.|9394-1088-2490-7997|User Licenses|2024-07-31,The Blackstone Group L.P.,9394-1088-2490-7997,User Licenses,2024-07-31,5,0,0
The Blackstone Group L.P.|0923-0242-9857-6383|AI Units|2026-08-09,The Blackstone Group L.P.,0923-0242-9857-6383,AI Units,2026-08-09,540000,101281.4,18.76
The Blackstone Group L.P.|4412-8133-1481-0387|Platform Units|2026-08-07,The Blackstone Group L.P.,4412-8133-1481-0387,Platform Units,2026-08-07,50274,179,0.36
The Savings Bank Mutual Life Insurance Company of Massachusetts|9464-6349-3479-9711|Unattended Production License|2026-07-31,The Savings Bank Mutual Life Insurance Company of Massachusetts,9464-6349-3479-9711,Unattended Production License,2026-07-31,4,4,100
The Savings Bank Mutual Life Insurance Company of Massachusetts|9464-6349-3479-9711|Unattended Test Robot License|2026-07-31,The Savings Bank Mutual Life Insurance Company of Massachusetts,9464-6349-3479-9711,Unattended Test Robot License,2026-07-31,1,1,100
The Savings Bank Mutual Life Insurance Company of Massachusetts|9464-6349-3479-9711|User Licenses|2026-07-31,The Savings Bank Mutual Life Insurance Company of Massachusetts,9464-6349-3479-9711,User Licenses,2026-07-31,134,7,5.22
The Savings Bank Mutual Life Insurance Company of Massachusetts|9464-6349-3479-9711|AI Units|2026-08-07,The Savings Bank Mutual Life Insurance Company of Massachusetts,9464-6349-3479-9711,AI Units,2026-08-07,120000,4072.8,3.39
The Standard|8213-4966-0852-4680|Unattended Production License|2025-07-31,The Standard,8213-4966-0852-4680,Unattended Production License,2025-07-31,0,2,
The Standard|1417-4035-9761-3597|Unattended Production License|2026-07-31,The Standard,1417-4035-9761-3597,Unattended Production License,2026-07-31,105,105,100
The Standard|1417-4035-9761-3597|Unattended Test Robot License|2026-07-31,The Standard,1417-4035-9761-3597,Unattended Test Robot License,2026-07-31,15,15,100
The Standard|8213-4966-0852-4680|User Licenses|2025-07-31,The Standard,8213-4966-0852-4680,User Licenses,2025-07-31,0,4,
The Standard|1417-4035-9761-3597|User Licenses|2026-07-31,The Standard,1417-4035-9761-3597,User Licenses,2026-07-31,542,212,39.11
The Standard|1417-4035-9761-3597|AI Units|2026-08-09,The Standard,1417-4035-9761-3597,AI Units,2026-08-09,180000,88040.8,48.91
"The Vanguard Group, Inc.|7224-7947-7404-0029|Unattended Production License|2026-07-31","The Vanguard Group, Inc.",7224-7947-7404-0029,Unattended Production License,2026-07-31,5,5,100
"The Vanguard Group, Inc.|5435-9834-9432-3055|Unattended Production License|2026-07-31","The Vanguard Group, Inc.",5435-9834-9432-3055,Unattended Production License,2026-07-31,139,189,135.97
"The Vanguard Group, Inc.|5435-9834-9432-3055|Unattended Test Robot License|2026-07-31","The Vanguard Group, Inc.",5435-9834-9432-3055,Unattended Test Robot License,2026-07-31,101,101,100
"The Vanguard Group, Inc.|386723671047013686|User Licenses|2023-11-30","The Vanguard Group, Inc.",386723671047013686,User Licenses,2023-11-30,9,0,0
"The Vanguard Group, Inc.|7224-7947-7404-0029|User Licenses|2026-07-31","The Vanguard Group, Inc.",7224-7947-7404-0029,User Licenses,2026-07-31,86,7,8.14
"The Vanguard Group, Inc.|5435-9834-9432-3055|User Licenses|2026-07-31","The Vanguard Group, Inc.",5435-9834-9432-3055,User Licenses,2026-07-31,4323,543,12.56
"The Vanguard Group, Inc.|386786439027025183|User Licenses|2023-11-30","The Vanguard Group, Inc.",386786439027025183,User Licenses,2023-11-30,3,0,0
"The Vanguard Group, Inc.|5435-9834-9432-3055|AI Units|2026-08-09","The Vanguard Group, Inc.",5435-9834-9432-3055,AI Units,2026-08-09,240000,34953.15,14.56
"The Vanguard Group, Inc.|7224-7947-7404-0029|AI Units|2026-07-31","The Vanguard Group, Inc.",7224-7947-7404-0029,AI Units,2026-07-31,60000,0,0
